frame,id,x,y,w,h,class_id,score,unique_ids_seen
3,0,1047,540,77,66,2,0.715535,2
3,1,278,528,186,92,2,0.499708,2
4,0,1047,540,77,66,2,0.715535,2
4,1,278,528,186,92,2,0.499708,2
5,0,1048,549,81,70,2,0.715557,2
5,1,277,527,186,93,2,0.47203,2
6,0,1048,552,82,70,2,0.715557,2
6,1,277,527,186,93,2,0.47203,2
7,0,1052,551,80,73,2,0.537938,2
7,1,278,527,186,94,2,0.491907,2
8,0,1053,553,80,74,2,0.537938,2
8,1,278,527,186,94,2,0.491907,2
9,0,1056,557,84,73,2,0.586885,2
9,1,278,526,187,95,2,0.515344,2
10,0,1058,560,85,73,2,0.586885,2
10,1,278,526,187,95,2,0.515344,2
11,0,1059,564,86,81,2,0.403243,2
11,1,277,529,186,92,2,0.492545,2
12,0,1061,568,87,83,2,0.403243,2
12,1,277,530,186,92,2,0.492545,2
13,0,1061,571,85,79,2,0.755888,2
13,1,277,530,186,91,2,0.496163,2
14,0,1062,575,86,79,2,0.755888,2
14,1,277,530,186,91,2,0.496163,2
15,0,1063,576,86,80,2,0.818478,2
15,1,278,532,185,89,2,0.501134,2
16,0,1065,580,86,81,2,0.818478,2
16,1,278,533,185,89,2,0.501134,2
17,0,1068,584,91,84,2,0.812856,2
17,1,277,541,177,82,2,0.523706,2
18,0,1070,588,92,84,2,0.812856,2
18,1,276,542,176,81,2,0.523706,2
19,0,1071,590,93,88,2,0.792931,2
19,1,277,543,176,81,2,0.545688,2
20,0,1073,594,93,88,2,0.792931,2
20,1,277,544,176,80,2,0.545688,2
21,0,1073,600,98,90,2,0.783461,2
21,1,278,543,178,81,2,0.508514,2
22,0,1074,605,99,91,2,0.783461,2
22,1,278,544,178,81,2,0.508514,2
23,0,1077,606,101,91,2,0.801906,2
23,1,278,541,180,83,2,0.486659,2
24,0,1079,610,102,92,2,0.801906,2
24,1,278,542,180,83,2,0.486659,2
25,0,1080,616,100,91,2,0.681908,2
25,1,279,531,185,93,2,0.555784,2
26,0,1082,621,100,91,2,0.681908,2
26,1,279,530,186,94,2,0.555784,2
27,0,1084,626,104,93,2,0.827544,2
27,1,278,536,183,89,2,0.537885,2
28,0,1086,631,105,94,2,0.827544,2
28,1,278,536,183,89,2,0.537885,2
29,0,1091,635,105,98,2,0.707345,2
29,1,278,539,183,86,2,0.52031,2
30,0,1094,640,106,99,2,0.707345,2
30,1,278,539,183,85,2,0.52031,2
31,0,1094,643,107,101,2,0.842652,2
31,1,279,535,185,90,2,0.51637,2
32,0,1096,648,107,101,2,0.842652,2
32,1,279,535,185,90,2,0.51637,2
33,0,1097,655,113,104,2,0.729224,2
33,1,279,535,185,91,2,0.535308,2
34,0,1099,661,114,104,2,0.729224,2
34,1,279,536,186,91,2,0.535308,2
35,0,1101,667,121,107,2,0.756381,2
35,1,279,534,187,93,2,0.601806,2
36,0,1103,674,123,108,2,0.756381,2
36,1,279,534,187,93,2,0.601806,2
37,0,1107,677,121,115,2,0.799369,2
37,1,279,544,180,83,2,0.540285,2
38,0,1110,683,121,116,2,0.799369,2
38,1,279,546,179,81,2,0.540285,2
39,0,1113,688,123,117,2,0.808155,2
39,1,279,551,175,76,2,0.586529,2
40,0,1116,694,124,118,2,0.808155,2
40,1,279,552,174,75,2,0.586529,2
41,0,1119,697,128,126,2,0.851107,2
41,1,279,542,179,87,2,0.573844,2
42,0,1122,703,129,127,2,0.851107,2
42,1,279,542,180,88,2,0.573844,2
43,0,1123,711,135,129,2,0.844125,2
43,1,280,534,185,95,2,0.634386,2
44,0,1127,718,136,130,2,0.844125,2
44,1,280,533,186,97,2,0.634386,2
45,0,1131,724,137,131,2,0.832465,2
45,1,279,539,186,91,2,0.516937,2
46,0,1134,732,138,132,2,0.832465,3
46,1,279,539,187,91,2,0.516937,3
46,2,921,403,38,37,2,0.49592,3
47,0,1137,740,142,141,2,0.701095,3
47,1,279,553,180,76,2,0.620613,3
47,2,921,403,38,37,2,0.49592,3
48,0,1140,749,143,143,2,0.701095,3
48,1,279,555,179,74,2,0.620613,3
48,2,921,403,38,37,2,0.49592,3
49,0,1145,752,148,148,2,0.847883,3
49,1,280,557,176,72,2,0.611794,3
49,2,921,403,38,37,2,0.49592,3
50,0,1149,760,149,149,2,0.847883,3
50,1,279,559,175,71,2,0.611794,3
50,2,921,403,38,37,2,0.49592,3
51,0,1150,770,158,156,2,0.849506,3
51,1,280,558,177,72,2,0.627188,3
51,2,921,403,38,37,2,0.49592,3
52,0,1153,779,159,158,2,0.849506,3
52,1,280,559,177,71,2,0.627188,3
52,2,921,403,38,37,2,0.49592,3
53,0,1158,787,161,161,2,0.846682,3
53,1,280,558,180,73,2,0.616025,3
53,2,921,403,38,37,2,0.49592,3
54,0,1162,796,162,162,2,0.846682,3
54,1,280,559,180,73,2,0.616025,3
54,2,920,428,41,35,2,0.420235,3
55,0,1167,806,168,170,2,0.794072,3
55,1,280,558,180,73,2,0.6343,3
55,2,920,431,41,35,2,0.420235,3
56,0,1171,816,170,172,2,0.794072,3
56,1,280,559,181,73,2,0.6343,3
56,2,921,433,42,35,2,0.427628,3
57,0,1176,825,177,180,2,0.697944,3
57,1,279,559,181,74,2,0.67425,3
57,2,922,435,42,35,2,0.427628,3
58,0,1181,836,179,182,2,0.697944,3
58,1,279,559,181,74,2,0.67425,3
58,2,922,437,42,35,2,0.427628,3
59,0,1187,844,184,193,2,0.782082,3
59,1,279,556,181,77,2,0.694887,3
59,2,923,440,42,35,2,0.427628,3
60,0,1193,857,185,196,2,0.782082,3
60,1,279,556,181,78,2,0.694887,3
60,2,923,442,42,34,2,0.427628,3
61,0,1194,863,198,206,2,0.789405,3
61,1,279,556,179,78,2,0.665418,3
61,2,921,437,42,38,2,0.524206,3
62,0,1199,876,201,208,2,0.789405,3
62,1,279,557,179,78,2,0.665418,3
62,2,921,438,42,39,2,0.524206,3
63,0,1204,884,210,208,2,0.78935,3
63,1,279,559,179,75,2,0.601108,3
63,2,922,439,46,40,2,0.540861,3
